Year,Week,Butter (£/tonnes),Cheese (£/tonnes),Potatoes (maincrop; £/tonnes),Potatoes (earlies; £/tonnes)
2016,1,1909,2125,,
2016,2,2027.9,2125,154.69,
2016,3,2102.3,2025,153.91,
2016,4,2123.7,2025,154.43,
2016,5,2050.7,1975,150.33,
2016,6,1675.7,1975,156.57,
2016,7,1992.9,1925,160.54,
2016,8,2016,1925,160.32,
2016,9,2089.3,1875,161.87,
2016,10,1995.7,1875,166.48,
2016,11,2017,1825,172.94,
2016,12,1912.9,1825,171.96,
2015,1,2210,2450,,
2015,2,2189.2,2450,115.21,
2015,3,2240.7,2400,115.74,
2015,4,2167.8,2400,114.76,
2015,5,2216.7,2350,111.08,
2015,6,2169.8,2350,121.47,
2015,7,2232.1,2400,120.04,
2015,8,2179.9,2400,125.2,
2015,9,2279.7,2400,115.18,
2015,10,2256.7,2400,121.81,
2015,11,2236.9,2400,124.34,
2015,12,2287.5,2400,125.7,
2015,13,2229.8,2400,122.29,
2015,14,2305.6,2400,129.76,
2015,15,2305.6,2400,127.82,
2015,16,2240,2400,127.71,
2015,17,2190.3,2400,131.05,929.17
2015,18,2211.9,2400,135.51,539.05
2015,19,2220.2,2350,137.49,400.6
2015,20,2190.8,2350,134.64,382.94
2015,21,2386.7,2350,132.73,383.45
2015,22,2186.5,2350,146.96,349
2015,23,2187.2,2300,148.26,270.88
2015,24,2396.4,2300,150.94,264.82
2015,25,2182.3,2300,153.66,278.51
2015,26,2175.3,2300,164.29,230.25
2015,27,2195.2,2300,162.6,246.31
2015,28,2305.2,2300,173.74,214.37
2015,29,2155.1,2250,,229.82
2015,30,2181.7,2250,,
2015,31,2173.9,,185.14,
2015,32,2100.7,,187.02,
2015,33,2016.9,2250,174.56,
2015,34,,2250,164.43,
2015,35,,2150,166.27,
2015,36,2670,2150,152.4,
2015,37,2238.8,2200,162.32,
2015,38,,2200,151.51,
2015,39,1947,2100,150.62,
2015,40,2039.2,2100,144.75,
2015,41,1943.7,2100,141.2,
2015,42,2148.3,2100,139.18,
2015,43,1986.7,2125,140.21,
2015,44,2294.5,2125,136.73,
2015,45,2079.1,2125,139.87,
2015,46,1986.4,2125,141.97,
2015,47,2039.2,2125,137.86,
2015,48,2015.1,2125,144.46,
2015,49,1992,2125,149.57,
2015,50,,2125,149.15,
2015,51,,,146.53,
2015,52,,,146.53,
2014,1,3450,3400,160.54,
2014,2,3330,3400,151,
2014,3,3286.1,3400,153.98,
2014,4,3150,3400,152.71,
2014,5,3505.7,3400,152.15,
2014,6,3187.2,3350,151.61,
2014,7,3338.1,3350,153.05,
2014,8,2971.7,3300,148.2,
2014,9,2960.9,3300,152.24,
2014,10,2969.4,3300,153.53,
2014,11,2970.9,3200,154.02,
2014,12,2899.5,3200,153.62,
2014,13,2895.4,3150,154.88,
2014,14,2827.3,3150,159.87,
2014,15,2862.1,3100,158.3,
2014,16,2868.1,3100,154.17,
2014,17,3259.3,3100,156.05,
2014,18,2844.1,3000,156.47,921.74
2014,19,2837.2,3000,158.31,612.3
2014,20,2791.4,3000,160.35,459.58
2014,21,2855,3000,159.68,387.64
2014,22,3264.9,3000,160.94,299.46
2014,23,2817.3,3000,160.2,227.69
2014,24,2749,3000,157,187.76
2014,25,2751.9,3000,155.69,161.62
2014,26,2620.1,3000,146.05,161.96
2014,27,2855,3000,,143.89
2014,28,2950,3000,,115.94
2014,29,2650,3000,,139.61
2014,30,2900,3000,161.35,132.8
2014,31,2800,3000,155.18,
2014,32,2757.8,3000,143.56,
2014,33,2800,3000,145.53,
2014,34,2788.9,3000,148.44,
2014,35,2788,3000,139.97,
2014,36,2813.6,2950,137.94,
2014,37,2670.6,2950,131.91,
2014,38,2800,2850,130.15,
2014,39,2910.2,2850,118.54,
